ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,horizon,outcome,exit_price,ambiguous,month
1514911200,2018-01-02 11:40:00,ES,RS,wddrb_sigma_distribution,long,2688.25,2686.25,2692.25,2.0,4.0,2.0,0.65,"['wddrb_mid_sigma', 'model_up_bias']",session,target,2692.25,False,2018-01
1516066200,2018-01-15 20:30:00,ES,AS,range_post_break_pullback,long,2793.25,2791.25,2799.5,2.0,6.25,1.625,0.65,"['pullback_first_high', 'post_break', 'cluster_near_darkpool']",session,timeout,2796.5,False,2018-01
1517326200,2018-01-30 10:30:00,ES,RS,model_forward,short,2833.25,2839.5,2808.0,6.25,25.25,1.56,0.6000000000000001,"['model_down_bias', 'model_down_bias']",session,timeout,2823.5,False,2018-01
1516721400,2018-01-23 10:30:00,ES,RS,wddrb_sigma_distribution,long,2838.5,2836.5,2841.5,2.0,3.0,1.5,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,target,2841.5,False,2018-01
1516721400,2018-01-23 10:30:00,ES,RS,model_forward,long,2838.5,2836.5,2841.5,2.0,3.0,1.5,0.55,"['model_up_bias', 'model_up_bias']",session,target,2841.5,False,2018-01
1516066200,2018-01-15 20:30:00,ES,AS,wddrb_sigma_distribution,long,2793.25,2791.25,2796.0,2.0,2.75,1.375,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",session,target,2796.0,False,2018-01
1517275800,2018-01-29 20:30:00,ES,AS,wddrb_sigma_distribution,short,2852.5,2861.375,2841.625,8.875,10.875,1.2253521126760565,0.55,"['wddrb_mid_sigma', 'model_down_bias']",session,target,2841.625,False,2018-01
1514911200,2018-01-02 11:40:00,ES,RS,range_post_break_pullback,long,2688.25,2681.75,2702.75,6.5,14.5,1.1538461538461535,0.65,"['pullback_first_high', 'post_break', 'model_up_bias']",session,timeout,2695.75,False,2018-01
1516727400,2018-01-23 12:10:00,ES,RS,wddrb_sigma_distribution,long,2838.25,2836.25,2844.75,2.0,6.5,1.125,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,timeout,2840.5,False,2018-01
1514883600,2018-01-02 04:00:00,ES,OS,model_forward,long,2678.0,2684.125,2694.0,6.125,16.0,1.0,0.65,"['model_up_bias', 'model_up_bias']",session,stop,2684.125,False,2018-01
1514904900,2018-01-02 09:55:00,ES,RR,cluster_rejection_fade,short,2687.5,2684.75,2678.75,2.75,8.75,1.0,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",session,stop,2684.75,False,2018-01
1515484800,2018-01-09 03:00:00,ES,OR,wddrb_sigma_distribution,short,2746.25,2742.75,2731.25,3.5,15.0,1.0,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",session,stop,2742.75,False,2018-01
1514903400,2018-01-02 09:30:00,ES,RR,wddrb_sigma_distribution,long,2682.75,2684.875,2687.25,2.125,4.5,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",session,stop,2684.875,False,2018-01
1516116600,2018-01-16 10:30:00,ES,RS,wddrb_sigma_distribution,long,2801.0,2804.375,2808.5,3.375,7.5,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",session,stop,2804.375,False,2018-01
1516116600,2018-01-16 10:30:00,ES,RS,model_forward,long,2801.0,2804.375,2808.5,3.375,7.5,1.0,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",session,stop,2804.375,False,2018-01
1517326200,2018-01-30 10:30:00,ES,RS,wddrb_sigma_distribution,short,2833.25,2829.0,2808.0,4.25,25.25,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_down_bias']",session,stop,2829.0,False,2018-01
1516698000,2018-01-23 04:00:00,ES,OS,wddrb_sigma_distribution,short,2840.5,2822.375,2796.125,18.125,44.375,1.0,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']",session,stop,2822.375,False,2018-01
1516719300,2018-01-23 09:55:00,ES,RR,wddrb_sigma_distribution,long,2834.75,2836.75,2841.5,2.0,6.75,1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,stop,2836.75,False,2018-01
