entry_ts,entry_time,ny_day,session,direction,entry_price,stop_price,target_price,exit_ts,exit_price,hit,r_real,signal_score,score_long,score_short,rej_count,rej_long_share,rej_wick_mean,rej_conf_mean,cluster_dist
1736387400,2025-01-08 20:50:00-05:00,2025-01-08,AS,long,5945.5,5944.875,5947.375,1736387700,5944.875,stop,-1.0,1.7012555555555557,1.5705000000000002,-1.5705000000000002,9.0,0.6666666666666666,0.5555555555555556,1.7333333333333334,
1736731800,2025-01-12 20:30:00-05:00,2025-01-12,AS,short,5850.25,5852.25,5844.25,1736732100,5844.25,target,3.0,1.124477777777778,-0.9715000000000001,0.9715000000000001,9.0,0.0,0.7777777777777778,2.0,
1736818500,2025-01-13 20:35:00-05:00,2025-01-13,AS,long,5890.0,5887.75,5896.75,1736819100,5887.75,stop,-1.0,0.9078666666666666,0.7909999999999999,-0.7909999999999999,8.0,0.875,0.5,1.875,
1736841600,2025-01-14 03:00:00-05:00,2025-01-14,OR,long,5898.75,5887.75,5931.75,1736844900,5908.5,session_close,0.8863636363636364,1.0114285714285716,0.75,-0.75,24.0,0.75,0.5,1.5812499999999998,16.5
1736850900,2025-01-14 05:35:00-05:00,2025-01-14,OS,long,5904.75,5900.25,5918.25,1736853300,5900.25,stop,-1.0,1.295177304964539,1.17,-1.17,6.0,0.8333333333333334,0.6666666666666666,1.6333333333333335,22.5
1736917500,2025-01-15 00:05:00-05:00,2025-01-15,AS,short,5883.5,5884.75,5879.75,1736919000,5884.75,stop,-1.0,2.1165333333333334,-1.8559999999999999,1.8559999999999999,25.0,0.32,0.52,1.37,
1736941500,2025-01-15 06:45:00-05:00,2025-01-15,OS,long,5901.25,5891.0,5932.0,1736947500,5903.75,session_close,0.24390243902439024,0.6575333333333334,0.524,-0.524,10.0,0.8,0.5,1.59,
1737351000,2025-01-20 00:30:00-05:00,2025-01-20,AS,long,6032.25,6029.0,6042.0,1737360300,6042.0,target,3.0,1.1668666666666665,0.8599999999999999,-0.8599999999999999,30.0,0.6666666666666666,0.5666666666666667,1.5333333333333334,
1737535800,2025-01-22 03:50:00-05:00,2025-01-22,OR,long,6108.75,6098.5,6139.5,1737536100,6109.5,session_close,0.07317073170731707,1.6568666666666667,1.44,-1.44,20.0,0.9,0.5,1.6849999999999998,
1737536400,2025-01-22 04:00:00-05:00,2025-01-22,OS,long,6109.25,6101.0,6134.0,1737552300,6118.0,session_close,1.0606060606060606,1.5707555555555555,1.44,-1.44,9.0,0.8888888888888888,0.5555555555555556,1.2999999999999998,
1737696000,2025-01-24 00:20:00-05:00,2025-01-24,AS,long,6146.75,6145.0,6152.0,1737701700,6146.5,session_close,-0.14285714285714285,2.0796969696969696,1.86,-1.86,20.0,0.65,0.5,1.465,65.0
1738306500,2025-01-31 01:55:00-05:00,2025-01-31,AS,long,6118.0,6112.75,6133.75,1738306500,6118.0,session_close,0.0,2.4612364760432763,2.26,-2.26,18.0,0.6666666666666666,0.5,1.6055555555555565,160.75
1738306800,2025-01-31 02:00:00-05:00,2025-01-31,TO,long,6118.5,6116.75,6123.75,1738307700,6123.75,target,3.0,1.2067882211950007,1.0,-1.0,18.0,0.6666666666666666,0.5555555555555556,1.6166666666666676,161.25
1738897500,2025-02-06 22:05:00-05:00,2025-02-06,AS,long,6106.75,6104.0,6115.0,1738898700,6104.0,stop,-1.0,1.8739597701149426,1.4935,-1.4935,38.0,0.7894736842105263,0.5,1.8434210526315795,13.5
1739755800,2025-02-16 20:30:00-05:00,2025-02-16,AS,long,6140.0,6138.5,6144.5,1739756700,6138.5,stop,-1.0,1.2928666666666666,1.151,-1.151,8.0,0.875,0.75,2.0000000000000036,
1739781000,2025-02-17 03:30:00-05:00,2025-02-17,OR,long,6139.25,6138.5,6141.5,1739782500,6138.5,stop,-1.0,1.1757,0.913,-0.913,24.0,0.6666666666666666,0.625,1.5020833333333343,
1739782800,2025-02-17 04:00:00-05:00,2025-02-17,OS,long,6138.25,6137.625,6140.125,1739783100,6140.125,target,3.0,1.4322833333333334,0.9800000000000001,-0.9800000000000001,48.0,0.8333333333333334,0.5208333333333334,1.552083333333334,
1739849400,2025-02-17 22:30:00-05:00,2025-02-17,AS,long,6145.5,6143.0,6153.0,1739854500,6145.5,session_close,0.0,1.5404121212121213,1.3940000000000001,-1.3940000000000001,11.0,0.8181818181818182,0.5454545454545454,1.5000000000000027,
