entry_ts,entry_time,entry_time_et,ny_day,session,setup,direction,entry_price,stop_price,primary_target,primary_reason,r_target,reasoning,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1735880700,2025-01-03 05:05:00+00:00,2025-01-03 00:05:00-05:00,2025-01-03,AS,wddrb_completion,short,5926.0,5936.25,5874.75,prev_wddrb_lo,5.0,"setup=wddrb_completion, rej_count=10, rej_long_share=0.00, wick=0.40, conf=2.00, p_bias=0.72, wddrb_bias=-0.70, breakout=True, first_break=False, target=prev_wddrb_lo",open,0.0,open,0.0,stop,-1.0,open,0.0
1736391000,2025-01-09 02:50:00+00:00,2025-01-08 21:50:00-05:00,2025-01-08,AS,asia_rotation,short,5951.0,5949.5,5944.75,asia_low,4.166666666666667,"setup=asia_rotation, rej_count=20, rej_long_share=0.00, wick=0.40, conf=1.54, p_bias=0.46, wddrb_bias=0.74, breakout=True, first_break=True, target=asia_low",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1736817300,2025-01-14 01:15:00+00:00,2025-01-13 20:15:00-05:00,2025-01-13,AR,percentile_extension,short,5890.25,5896.75,5869.97725,daycycle_pct_level,3.118884615384629,"setup=percentile_extension, rej_count=17, rej_long_share=0.00, wick=0.41, conf=1.20, p_bias=-0.14, wddrb_bias=1.00, breakout=False, first_break=False, target=daycycle_pct_level",open,0.0,open,0.0,open,0.0,open,0.0
1736821800,2025-01-14 02:30:00+00:00,2025-01-13 21:30:00-05:00,2025-01-13,AS,asia_rotation,short,5885.5,5896.75,5834.75,asia_low,4.511111111111111,"setup=asia_rotation, rej_count=36, rej_long_share=0.00, wick=0.42, conf=1.63, p_bias=-0.12, wddrb_bias=1.00, breakout=True, first_break=False, target=asia_low",open,0.0,open,0.0,stop,-1.0,open,0.0
1736888100,2025-01-14 20:55:00+00:00,2025-01-14 15:55:00-05:00,2025-01-14,RS,percentile_extension,short,5882.0,5888.5,5842.5,intraday_pct_level,6.076923076923077,"setup=percentile_extension, rej_count=11, rej_long_share=0.00, wick=0.73, conf=1.71, p_bias=-0.34, wddrb_bias=0.11, breakout=True, first_break=False, target=intraday_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,open,0.0
1736923500,2025-01-15 06:45:00+00:00,2025-01-15 01:45:00-05:00,2025-01-15,AS,wddrb_completion,short,5885.25,5896.75,5842.5,prev_wddrb_lo,3.717391304347826,"setup=wddrb_completion, rej_count=10, rej_long_share=0.00, wick=0.50, conf=1.59, p_bias=-0.66, wddrb_bias=-0.70, breakout=True, first_break=False, target=prev_wddrb_lo",open,0.0,open,0.0,open,0.0,stop,-1.0
1738132500,2025-01-29 06:35:00+00:00,2025-01-29 01:35:00-05:00,2025-01-29,AS,asia_rotation,short,6108.25,6105.25,6093.5,asia_low,4.916666666666667,"setup=asia_rotation, rej_count=19, rej_long_share=0.00, wick=0.47, conf=1.15, p_bias=0.52, wddrb_bias=1.00, breakout=True, first_break=True, target=asia_low",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1738286700,2025-01-31 01:25:00+00:00,2025-01-30 20:25:00-05:00,2025-01-30,AR,percentile_extension,short,6108.75,6118.375,6073.40925,daycycle_pct_level,3.671766233766265,"setup=percentile_extension, rej_count=10, rej_long_share=0.00, wick=0.40, conf=1.36, p_bias=-0.06, wddrb_bias=0.05, breakout=True, first_break=False, target=daycycle_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,open,0.0
1738290600,2025-01-31 02:30:00+00:00,2025-01-30 21:30:00-05:00,2025-01-30,AS,asia_rotation,short,6113.5,6118.375,6086.0,asia_low,5.641025641025641,"setup=asia_rotation, rej_count=7, rej_long_share=0.00, wick=0.86, conf=1.47, p_bias=0.76, wddrb_bias=1.00, breakout=True, first_break=False, target=asia_low",open,0.0,open,0.0,open,0.0,open,0.0
1738311900,2025-01-31 08:25:00+00:00,2025-01-31 03:25:00-05:00,2025-01-31,OR,percentile_extension,short,6121.0,6129.5,6090.625,daycycle_pct_level,3.573529411764706,"setup=percentile_extension, rej_count=23, rej_long_share=0.00, wick=0.43, conf=1.17, p_bias=-0.24, wddrb_bias=1.00, breakout=False, first_break=False, target=daycycle_pct_level",open,0.0,open,0.0,stop,-1.0,open,0.0
