entry_ts,entry_time,entry_time_et,ny_day,session,direction,entry_price,stop_price,primary_target,primary_reason,r_target,reasoning,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1735872000,2025-01-03 02:40:00+00:00,2025-01-02 21:40:00-05:00,2025-01-02,AS,short,5929.75,5931.5,5922.75,asia_low,4.0,"wddrb_long=0.05, wddrb_short=0.75, rej_count=33, wick=0.48, conf=1.60, target=asia_low",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1735880700,2025-01-03 05:05:00+00:00,2025-01-03 00:05:00-05:00,2025-01-03,AS,short,5926.0,5936.25,5874.75,prev_wddrb_lo,5.0,"wddrb_long=0.05, wddrb_short=0.75, rej_count=10, wick=0.40, conf=2.00, target=prev_wddrb_lo",open,0.0,open,0.0,stop,-1.0,open,0.0
1736822400,2025-01-14 02:40:00+00:00,2025-01-13 21:40:00-05:00,2025-01-13,AS,long,5886.0,5887.5,5890.75,asia_high,3.1666666666666665,"wddrb_long=1.00, wddrb_short=0.00, rej_count=35, wick=0.43, conf=1.57, target=asia_high",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1736923500,2025-01-15 06:45:00+00:00,2025-01-15 01:45:00-05:00,2025-01-15,AS,short,5885.25,5896.75,5842.5,prev_wddrb_lo,3.717391304347826,"wddrb_long=0.05, wddrb_short=0.75, rej_count=10, wick=0.50, conf=1.59, target=prev_wddrb_lo",open,0.0,open,0.0,open,0.0,stop,-1.0
1737597300,2025-01-23 01:55:00+00:00,2025-01-22 20:55:00-05:00,2025-01-22,AS,short,6113.75,6116.625,6098.75,asia_low,5.217391304347826,"wddrb_long=0.05, wddrb_short=0.75, rej_count=25, wick=0.40, conf=1.38, target=asia_low",open,0.0,open,0.0,stop,-1.0,stop,-1.0
1737682200,2025-01-24 01:30:00+00:00,2025-01-23 20:30:00-05:00,2025-01-23,AS,long,6147.0,6144.75,6154.0,prev_wddrb_hi,3.111111111111111,"wddrb_long=0.79, wddrb_short=0.05, rej_count=35, wick=0.57, conf=1.60, target=prev_wddrb_hi",tp,3.111111111111111,tp,3.111111111111111,tp,3.111111111111111,tp,3.111111111111111
1737713400,2025-01-24 10:10:00+00:00,2025-01-24 05:10:00-05:00,2025-01-24,OS,long,6144.25,6145.5,6154.0,prev_wddrb_hi,7.8,"wddrb_long=1.00, wddrb_short=0.00, rej_count=24, wick=0.50, conf=1.70, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1738287600,2025-01-31 01:40:00+00:00,2025-01-30 20:40:00-05:00,2025-01-30,AS,long,6111.75,6112.5,6116.25,prev_wddrb_hi,6.0,"wddrb_long=0.79, wddrb_short=0.05, rej_count=16, wick=0.44, conf=1.67, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1738913100,2025-02-07 07:25:00+00:00,2025-02-07 02:25:00-05:00,2025-02-07,TO,long,6101.0,6102.75,6108.5,prev_wddrb_hi,4.285714285714286,"wddrb_long=0.79, wddrb_short=0.05, rej_count=26, wick=0.42, conf=1.87, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1739146500,2025-02-10 00:15:00+00:00,2025-02-09 19:15:00-05:00,2025-02-09,TA,short,6059.25,6066.875,6029.0765,daycycle_pct_level,3.9571803278688362,"wddrb_long=0.00, wddrb_short=1.00, rej_count=20, wick=0.40, conf=1.37, target=daycycle_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,open,0.0
