archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_start,1h,9,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.0,7.454456261930064,0.8282729179922294
after_formed,1h,29,0.0,0.41379310344827586,0.5862068965517241,0.0,3.358584886820478,0.11581327195932682
post_breakout,1h,20,0.0,0.55,0.45,0.0,1.8711489254967517,0.09355744627483759
range_start,2h,9,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,4.8408198982937005,0.5378688775881889
post_breakout,2h,20,0.0,0.7,0.3,0.0,7.113314613314612,0.3556657306657306
after_formed,2h,29,0.0,0.4827586206896552,0.5172413793103449,0.0,-1.0943276726643765,-0.037735436988426775
range_start,4h,9,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,8.8408198982937,0.9823133220326334
after_formed,4h,29,0.034482758620689655,0.6551724137931034,0.3103448275862069,0.0,-2.0927498239597875,-0.07216378703309612
post_breakout,4h,20,0.0,0.85,0.15,0.0,-5.110682110682111,-0.25553410553410555
range_start,session,9,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.0,6.808352365826168,0.7564835962029075
post_breakout,session,20,0.0,0.8,0.2,0.0,6.755791505791507,0.3377895752895753
after_formed,session,29,0.034482758620689655,0.7241379310344828,0.2413793103448276,0.0,-6.566404851103187,-0.2264277534863168
