archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_start,1h,8,0.5,0.5,0.0,0.0,47.5,5.9375
post_breakout,1h,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,28.047619047619047,4.674603174603175
after_formed,1h,15,0.06666666666666667,0.8,0.13333333333333333,0.06666666666666667,20.2014652014652,1.3467643467643466
range_start,2h,8,0.5,0.5,0.0,0.0,47.5,5.9375
post_breakout,2h,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,31.428571428571427,5.238095238095238
after_formed,2h,15,0.06666666666666667,0.8,0.13333333333333333,0.06666666666666667,24.01831501831502,1.6012210012210013
range_start,4h,8,0.5,0.5,0.0,0.0,47.5,5.9375
post_breakout,4h,6,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,32.476190476190474,5.412698412698412
after_formed,4h,15,0.13333333333333333,0.8,0.06666666666666667,0.06666666666666667,24.98901098901099,1.665934065934066
range_start,session,8,0.5,0.5,0.0,0.0,47.5,5.9375
post_breakout,session,6,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,32.476190476190474,5.412698412698412
after_formed,session,15,0.13333333333333333,0.8,0.06666666666666667,0.06666666666666667,25.373626373626372,1.6915750915750916
