archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_start,1h,12,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,7.204456261930064,0.6003713551608386
after_formed,1h,66,0.07575757575757576,0.4090909090909091,0.5151515151515151,0.0,7.83014147800968,0.11863850724257091
m7,1h,89,0.16853932584269662,0.651685393258427,0.1797752808988764,0.02247191011235955,0.40175771171264074,0.004514131592276862
frontrun,1h,208,0.1346153846153846,0.5817307692307693,0.28365384615384615,0.0,-0.719258244604621,-0.0034579723298299083
post_breakout,1h,45,0.022222222222222223,0.35555555555555557,0.6222222222222222,0.0,-8.37774402632858,-0.18617208947396843
range_start,2h,12,0.16666666666666666,0.75,0.08333333333333333,0.0,4.5908198982937005,0.3825683248578084
after_formed,2h,66,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,4.891703194746501,0.07411671507191668
m7,2h,89,0.20224719101123595,0.6741573033707865,0.12359550561797752,0.02247191011235955,1.1793733118588285,0.013251385526503692
frontrun,2h,208,0.17307692307692307,0.6201923076923077,0.20673076923076922,0.0,0.13436860151128283,0.0006460028918811675
post_breakout,2h,45,0.044444444444444446,0.5333333333333333,0.4222222222222222,0.0,-12.960111767908993,-0.28800248373131093
range_start,4h,12,0.16666666666666666,0.75,0.08333333333333333,0.0,8.5908198982937,0.7159016581911417
frontrun,4h,208,0.25,0.6346153846153846,0.11538461538461539,0.0,51.61717035763306,0.24815947287323586
after_formed,4h,66,0.16666666666666666,0.5454545454545454,0.2878787878787879,0.0,9.900475676861937,0.15000720722518088
m7,4h,89,0.20224719101123595,0.6966292134831461,0.10112359550561797,0.02247191011235955,4.41744635972838,0.049634228760993035
post_breakout,4h,45,0.06666666666666667,0.7333333333333333,0.2,0.0,-23.02253156887905,-0.5116118126417567
range_start,session,12,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,6.558352365826168,0.5465293638188473
after_formed,session,66,0.18181818181818182,0.6060606060606061,0.21212121212121213,0.0,2.6661072005949444,0.04039556364537795
m7,session,89,0.16853932584269662,0.6292134831460674,0.20224719101123595,0.02247191011235955,-1.633020550779758,-0.018348545514379304
frontrun,session,208,0.057692307692307696,0.4230769230769231,0.40865384615384615,0.0,-18.624091645544308,-0.08953890214203994
post_breakout,session,45,0.08888888888888889,0.6666666666666666,0.24444444444444444,0.0,-17.1184313203354,-0.38040958489634225
