archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
post_breakout,1h,19,0.05263157894736842,0.5789473684210527,0.3684210526315789,0.0,22.141837214785948,1.1653598534097867
after_formed,1h,19,0.10526315789473684,0.47368421052631576,0.42105263157894735,0.0,13.607499112430087,0.7161841638121098
range_start,1h,4,0.25,0.75,0.0,0.0,1.291666666666667,0.32291666666666674
after_formed,2h,19,0.15789473684210525,0.5263157894736842,0.3157894736842105,0.0,22.286824218666325,1.1729907483508593
post_breakout,2h,19,0.10526315789473684,0.7368421052631579,0.15789473684210525,0.0,13.063691122175378,0.6875626906408093
range_start,2h,4,0.25,0.75,0.0,0.0,1.291666666666667,0.32291666666666674
after_formed,4h,19,0.21052631578947367,0.631578947368421,0.15789473684210525,0.0,24.094094638305165,1.2681102441213246
range_start,4h,4,0.25,0.75,0.0,0.0,1.291666666666667,0.32291666666666674
post_breakout,4h,19,0.10526315789473684,0.8421052631578947,0.05263157894736842,0.0,-7.017702627609749,-0.3693527698741973
after_formed,session,19,0.21052631578947367,0.631578947368421,0.15789473684210525,0.0,28.48122914122914,1.4990120600646915
range_start,session,4,0.25,0.75,0.0,0.0,1.291666666666667,0.32291666666666674
post_breakout,session,19,0.10526315789473684,0.8947368421052632,0.0,0.0,-7.605937921727396,-0.40031252219617874
