ts,timestamp_ny,session,archetype,direction,entry,stop,target,r_multiple,condition,expectation,invalidation,weekly_override,horizon,outcome,exit_price,ambiguous
1736499600,2025-01-10T04:00:00-05:00,OS,after_formed,short,5944.75,5945.75,5939.25,5.5,first break true + confirm,THEN expect rotation toward 5939.25.,"IF price breaks 5945.75, THEN short thesis invalid.",False,1h,target,5939.25,False
1736499600,2025-01-10T04:00:00-05:00,OS,after_formed,short,5944.75,5945.75,5939.25,5.5,first break true + confirm,THEN expect rotation toward 5939.25.,"IF price breaks 5945.75, THEN short thesis invalid.",False,2h,target,5939.25,False
1736499600,2025-01-10T04:00:00-05:00,OS,after_formed,short,5944.75,5945.75,5939.25,5.5,first break true + confirm,THEN expect rotation toward 5939.25.,"IF price breaks 5945.75, THEN short thesis invalid.",False,4h,target,5939.25,False
1736499600,2025-01-10T04:00:00-05:00,OS,after_formed,short,5944.75,5945.75,5939.25,5.5,first break true + confirm,THEN expect rotation toward 5939.25.,"IF price breaks 5945.75, THEN short thesis invalid.",False,session,target,5939.25,False
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6027.5,6023.0,5.0,perfect rejection + box down,THEN expect rotation toward 6023.00.,"IF price breaks 6027.50, THEN short thesis invalid.",False,1h,target,6023.0,False
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6027.5,6023.0,5.0,perfect rejection + box down,THEN expect rotation toward 6023.00.,"IF price breaks 6027.50, THEN short thesis invalid.",False,2h,target,6023.0,False
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6027.5,6023.0,5.0,perfect rejection + box down,THEN expect rotation toward 6023.00.,"IF price breaks 6027.50, THEN short thesis invalid.",False,4h,target,6023.0,False
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6027.5,6023.0,5.0,perfect rejection + box down,THEN expect rotation toward 6023.00.,"IF price breaks 6027.50, THEN short thesis invalid.",False,session,target,6023.0,False
1738074600,2025-01-28T09:30:00-05:00,RR,range_start,short,6057.5,6059.0,6052.75,3.1666666666666665,perfect rejection + box down,THEN expect rotation toward 6052.75.,"IF price breaks 6059.00, THEN short thesis invalid.",False,1h,target,6052.75,False
1738074600,2025-01-28T09:30:00-05:00,RR,range_start,short,6057.5,6059.0,6052.75,3.1666666666666665,perfect rejection + box down,THEN expect rotation toward 6052.75.,"IF price breaks 6059.00, THEN short thesis invalid.",False,2h,target,6052.75,False
1738074600,2025-01-28T09:30:00-05:00,RR,range_start,short,6057.5,6059.0,6052.75,3.1666666666666665,perfect rejection + box down,THEN expect rotation toward 6052.75.,"IF price breaks 6059.00, THEN short thesis invalid.",False,4h,target,6052.75,False
