asset,date,exit_time,direction,entry_price,stop_price,target_price,exit_price,r_pnl,reason
ES,2008-01-04,2008-01-04 08:35:00,SHORT,1452.6145833333333,1454.4375,1445.0,1445.0,4.177142857142642,TARGET
ES,2008-01-06,2008-01-06 19:40:00,SHORT,1423.03125,1424.4375,1417.5,1424.4375,-1.0,STOP
ES,2008-01-09,2008-01-09 11:45:00,SHORT,1405.8229166666667,1408.6875,1393.0,1393.0,4.476363636363781,TARGET
ES,2008-01-10,2008-01-10 01:45:00,LONG,1409.09375,1407.3125,1416.5,1407.3125,-1.0,STOP
ES,2008-01-14,2008-01-14 02:05:00,SHORT,1404.7604166666667,1406.0625,1399.75,1406.0625,-1.0,STOP
ES,2008-01-15,2008-01-15 06:35:00,SHORT,1413.4791666666667,1414.375,1410.5,1414.375,-1.0,STOP
ES,2008-01-21,2008-01-21 20:40:00,SHORT,1266.9479166666667,1268.6875,1259.75,1268.6875,-1.0,STOP
ES,2008-01-23,2008-01-23 09:05:00,SHORT,1274.7083333333333,1277.75,1261.0,1277.75,-1.0,STOP
ES,2008-02-01,2008-02-01 15:55:00,LONG,1377.9895833333333,1373.6875,1398.0,1396.5,4.302663438256752,TIME
ES,2008-02-04,2008-02-04 09:30:00,LONG,1393.9479166666667,1392.4375,1400.0,1392.4375,-1.0,STOP
ES,2008-02-05,2008-02-05 16:50:00,SHORT,1343.03125,1344.4375,1337.5,1344.4375,-1.0,STOP
ES,2008-02-06,2008-02-06 16:30:00,SHORT,1330.75,1332.25,1324.75,1332.25,-1.0,STOP
ES,2008-02-12,2008-02-12 08:05:00,LONG,1339.28125,1336.9375,1349.5,1349.5,4.36,TARGET
ES,2008-02-14,2008-02-14 04:50:00,LONG,1366.90625,1365.6875,1371.5,1365.6875,-1.0,STOP
ES,2008-02-15,2008-02-15 02:00:00,SHORT,1351.6041666666667,1352.875,1346.75,1352.875,-1.0,STOP
ES,2008-02-17,2008-02-17 23:25:00,LONG,1348.71875,1347.8125,1351.75,1347.8125,-1.0,STOP
ES,2008-02-19,2008-02-19 05:05:00,SHORT,1358.4270833333333,1359.3125,1355.5,1359.3125,-1.0,STOP
ES,2008-02-20,2008-02-20 04:30:00,SHORT,1349.6354166666667,1351.0625,1344.0,1351.0625,-1.0,STOP
ES,2008-02-28,2008-02-28 08:10:00,SHORT,1375.7291666666667,1376.875,1371.5,1371.5,3.6909090909094013,TARGET
ES,2008-02-28,2008-02-28 18:10:00,SHORT,1366.1770833333333,1367.0625,1363.25,1363.25,3.3058823529408077,TARGET
ES,2008-03-03,2008-03-03 10:10:00,SHORT,1330.2708333333333,1332.625,1320.0,1332.625,-1.0,STOP
ES,2008-03-03,2008-03-03 18:25:00,LONG,1333.0104166666667,1331.8125,1337.5,1331.8125,-1.0,STOP
ES,2008-03-07,2008-03-07 03:45:00,SHORT,1309.2395833333333,1310.9375,1302.25,1302.25,4.116564417177686,TARGET
ES,2008-03-10,2008-03-10 21:20:00,SHORT,1277.1041666666667,1278.375,1272.25,1278.375,-1.0,STOP
ES,2008-03-14,2008-03-14 08:35:00,LONG,1314.5625,1312.375,1324.0,1324.0,4.314285714285714,TARGET
ES,2008-03-19,2008-03-19 07:05:00,LONG,1323.8020833333333,1320.8125,1337.25,1320.8125,-1.0,STOP
ES,2008-03-27,2008-03-27 04:15:00,SHORT,1338.8333333333333,1340.5,1332.0,1340.5,-1.0,STOP
ES,2008-03-27,2008-03-27 16:55:00,SHORT,1330.8854166666667,1332.0625,1326.5,1332.0625,-1.0,STOP
ES,2008-03-31,2008-03-31 07:50:00,SHORT,1317.5833333333333,1319.5,1309.5,1319.5,-1.0,STOP
ES,2008-04-02,2008-04-02 07:55:00,LONG,1364.46875,1362.5625,1372.5,1372.5,4.213114754098361,TARGET
ES,2008-04-03,2008-04-03 08:50:00,SHORT,1366.0,1367.25,1361.25,1361.25,3.8,TARGET
ES,2008-04-04,2008-04-04 08:35:00,LONG,1376.0625,1373.375,1388.0,1373.375,-1.0,STOP
ES,2008-04-08,2008-04-08 22:00:00,LONG,1371.2916666666667,1369.75,1377.5,1369.75,-1.0,STOP
ES,2008-04-14,2008-04-14 07:15:00,SHORT,1335.1770833333333,1336.8125,1328.5,1328.5,4.0828025477704655,TARGET
ES,2008-04-15,2008-04-15 07:15:00,SHORT,1328.9583333333333,1329.75,1326.5,1329.75,-1.0,STOP
