asset,date,dr_high,dr_low,sr_high_close,sr_low_close,breakout_time,direction,cluster,entry_time,entry_price,stop_price,exit_time,exit_reason,exit_price,pnl,r_multiple
ES,2019-01-02,2494.75,2467.0,2491.75,2468.0,2019-01-02 10:50:00-05:00,Long Breakout,First,2019-01-02 10:50:00-05:00,2494.75,2487.0,2019-01-02 15:55:00-05:00,SESSION_CLOSE,2511.0,16.25,2.096774193548387
ES,2019-01-03,2493.5,2454.75,2490.5,2458.5,2019-01-03 10:35:00-05:00,Short Breakout,First,2019-01-03 10:35:00-05:00,2454.75,2464.9,2019-01-03 11:10:00-05:00,STOP,2464.9,-10.150000000000091,-1.0
ES,2019-01-03,2493.5,2454.75,2490.5,2458.5,2019-01-03 10:35:00-05:00,Short Breakout,Second,2019-01-03 11:20:00-05:00,2471.3,2484.1,2019-01-03 11:40:00-05:00,STOP,2484.1,-12.799999999999727,-1.0
ES,2019-01-04,2517.5,2478.75,2517.25,2481.75,2019-01-04 10:55:00-05:00,Long Breakout,First,2019-01-04 10:55:00-05:00,2517.5,2510.15,2019-01-04 11:30:00-05:00,STOP,2510.15,-7.349999999999909,-1.0
ES,2019-01-07,2540.0,2524.5,2538.75,2526.25,2019-01-07 10:30:00-05:00,Long Breakout,First,2019-01-07 10:30:00-05:00,2540.0,2536.25,2019-01-07 15:55:00-05:00,SESSION_CLOSE,2550.5,10.5,2.8
ES,2019-01-08,2581.25,2557.5,2579.0,2557.75,2019-01-08 10:40:00-05:00,Short Breakout,First,2019-01-08 10:40:00-05:00,2557.5,2562.0,2019-01-08 12:00:00-05:00,STOP,2562.0,-4.5,-1.0
ES,2019-01-08,2581.25,2557.5,2579.0,2557.75,2019-01-08 10:40:00-05:00,Short Breakout,Second,2019-01-08 12:15:00-05:00,2566.25,2574.75,2019-01-08 15:25:00-05:00,STOP,2574.75,-8.5,-1.0
ES,2019-01-09,2590.25,2578.0,2589.0,2581.0,2019-01-09 10:30:00-05:00,Short Breakout,First,2019-01-09 10:30:00-05:00,2579.4,2582.6,2019-01-09 10:30:00-05:00,STOP,2582.6,-3.199999999999818,-1.0
ES,2019-01-09,2590.25,2578.0,2589.0,2581.0,2019-01-09 10:30:00-05:00,Short Breakout,Second,2019-01-09 10:30:00-05:00,2584.2,2587.4,2019-01-09 11:25:00-05:00,STOP,2587.4,-3.200000000000273,-1.0
ES,2019-01-10,2578.5,2562.0,2577.75,2563.75,2019-01-10 10:45:00-05:00,Long Breakout,First,2019-01-10 10:45:00-05:00,2578.5,2574.95,2019-01-10 13:40:00-05:00,STOP,2574.95,-3.550000000000182,-1.0
ES,2019-01-11,2587.5,2577.0,2587.0,2578.75,2019-01-11 10:55:00-05:00,Long Breakout,First,2019-01-11 10:55:00-05:00,2587.5,2585.35,2019-01-11 10:55:00-05:00,STOP,2585.35,-2.150000000000091,-1.0
ES,2019-01-11,2587.5,2577.0,2587.0,2578.75,2019-01-11 10:55:00-05:00,Long Breakout,Second,2019-01-11 11:10:00-05:00,2583.7,2580.4,2019-01-11 15:55:00-05:00,SESSION_CLOSE,2596.25,12.550000000000182,3.8030303030306727
ES,2019-01-14,2585.25,2570.75,2584.5,2571.75,2019-01-14 10:40:00-05:00,Long Breakout,First,2019-01-14 10:40:00-05:00,2585.25,2581.95,2019-01-14 10:45:00-05:00,STOP,2581.95,-3.300000000000182,-1.0
ES,2019-01-14,2585.25,2570.75,2584.5,2571.75,2019-01-14 10:40:00-05:00,Long Breakout,Second,2019-01-14 11:15:00-05:00,2579.4,2574.3,2019-01-14 15:55:00-05:00,SESSION_CLOSE,2581.25,1.849999999999909,0.3627450980392043
ES,2019-01-15,2607.0,2584.25,2605.25,2584.75,2019-01-15 11:55:00-05:00,Long Breakout,First,2019-01-15 11:55:00-05:00,2607.0,2601.15,2019-01-15 14:25:00-05:00,STOP,2601.15,-5.849999999999909,-1.0
ES,2019-01-15,2607.0,2584.25,2605.25,2584.75,2019-01-15 11:55:00-05:00,Long Breakout,Second,2019-01-15 14:30:00-05:00,2597.05,2588.85,2019-01-15 15:55:00-05:00,SESSION_CLOSE,2610.5,13.449999999999818,1.6402439024389477
ES,2019-01-16,2624.0,2612.75,2623.75,2614.75,2019-01-16 14:30:00-05:00,Long Breakout,First,2019-01-16 14:30:00-05:00,2624.0,2621.95,2019-01-16 14:50:00-05:00,STOP,2621.95,-2.050000000000182,-1.0
ES,2019-01-16,2624.0,2612.75,2623.75,2614.75,2019-01-16 14:30:00-05:00,Long Breakout,Second,2019-01-16 15:30:00-05:00,2620.15,2616.55,2019-01-16 15:55:00-05:00,STOP,2616.55,-3.599999999999909,-1.0
ES,2019-01-17,2618.75,2605.5,2617.25,2605.75,2019-01-17 11:05:00-05:00,Long Breakout,First,2019-01-17 11:05:00-05:00,2618.75,2614.95,2019-01-17 15:55:00-05:00,SESSION_CLOSE,2636.0,17.25,4.539473684210309
ES,2019-01-21,2663.0,2655.75,2662.75,2656.75,2019-01-21 12:50:00-05:00,Long Breakout,First,2019-01-21 12:50:00-05:00,2663.0,2661.55,2019-01-21 18:00:00-05:00,STOP,2661.55,-1.449999999999818,-1.0
ES,2019-01-21,2663.0,2655.75,2662.75,2656.75,2019-01-21 12:50:00-05:00,Long Breakout,Second,2019-01-21 18:00:00-05:00,2660.35,2657.95,2019-01-21 19:40:00-05:00,STOP,2657.95,-2.400000000000091,-1.0
ES,2019-01-22,2656.5,2641.25,2654.25,2642.75,2019-01-22 11:40:00-05:00,Short Breakout,First,2019-01-22 11:40:00-05:00,2641.25,2645.05,2019-01-22 15:55:00-05:00,SESSION_CLOSE,2636.0,5.25,1.3815789473683548
ES,2019-01-23,2653.75,2640.5,2652.75,2641.5,2019-01-23 10:35:00-05:00,Short Breakout,First,2019-01-23 10:35:00-05:00,2640.5,2643.75,2019-01-23 12:05:00-05:00,TARGET,2613.375,27.125,8.346153846153847
ES,2019-01-24,2647.5,2630.0,2646.25,2633.25,2019-01-24 13:10:00-05:00,Short Breakout,First,2019-01-24 13:10:00-05:00,2630.65,2635.85,2019-01-24 14:35:00-05:00,STOP,2635.85,-5.199999999999818,-1.0
ES,2019-01-24,2647.5,2630.0,2646.25,2633.25,2019-01-24 13:10:00-05:00,Short Breakout,Second,2019-01-24 15:05:00-05:00,2638.45,2643.65,2019-01-24 15:55:00-05:00,SESSION_CLOSE,2641.5,-3.050000000000182,-0.5865384615384658
ES,2019-01-25,2668.25,2656.5,2667.75,2658.0,2019-01-25 10:35:00-05:00,Long Breakout,First,2019-01-25 10:35:00-05:00,2668.25,2665.8,2019-01-25 10:35:00-05:00,STOP,2665.8,-2.449999999999818,-1.0
ES,2019-01-25,2668.25,2656.5,2667.75,2658.0,2019-01-25 10:35:00-05:00,Long Breakout,Second,2019-01-25 11:20:00-05:00,2663.85,2659.95,2019-01-25 15:30:00-05:00,STOP,2659.95,-3.900000000000091,-1.0
ES,2019-01-28,2639.0,2626.5,2638.5,2628.0,2019-01-28 11:50:00-05:00,Short Breakout,First,2019-01-28 11:50:00-05:00,2626.5,2630.1,2019-01-28 12:20:00-05:00,STOP,2630.1,-3.599999999999909,-1.0
ES,2019-01-28,2639.0,2626.5,2638.5,2628.0,2019-01-28 11:50:00-05:00,Short Breakout,Second,2019-01-28 12:30:00-05:00,2632.2,2636.4,2019-01-28 13:30:00-05:00,STOP,2636.4,-4.200000000000273,-1.0
ES,2019-01-29,2650.0,2638.25,2648.5,2640.0,2019-01-29 10:50:00-05:00,Short Breakout,First,2019-01-29 10:50:00-05:00,2638.3,2641.7,2019-01-29 12:10:00-05:00,STOP,2641.7,-3.399999999999636,-1.0
ES,2019-01-29,2650.0,2638.25,2648.5,2640.0,2019-01-29 10:50:00-05:00,Short Breakout,Second,2019-01-29 12:20:00-05:00,2643.4,2646.8,2019-01-29 15:55:00-05:00,SESSION_CLOSE,2638.75,4.650000000000091,1.3676470588235197
ES,2019-01-30,2656.75,2646.5,2656.25,2647.25,2019-01-30 11:00:00-05:00,Long Breakout,First,2019-01-30 11:00:00-05:00,2656.75,2654.45,2019-01-30 11:00:00-05:00,STOP,2654.45,-2.300000000000182,-1.0
ES,2019-01-31,2695.0,2676.5,2694.5,2677.75,2019-01-31 10:35:00-05:00,Long Breakout,First,2019-01-31 10:35:00-05:00,2695.0,2691.15,2019-01-31 15:55:00-05:00,SESSION_CLOSE,2702.75,7.75,2.0129870129870606
ES,2019-02-01,2716.0,2699.0,2715.25,2699.0,2019-02-01 14:15:00-05:00,Short Breakout,First,2019-02-01 14:15:00-05:00,2699.0,2702.25,2019-02-01 14:30:00-05:00,STOP,2702.25,-3.25,-1.0
ES,2019-02-01,2716.0,2699.0,2715.25,2699.0,2019-02-01 14:15:00-05:00,Short Breakout,Second,2019-02-01 15:55:00-05:00,2705.5,2712.0,2019-02-01 15:55:00-05:00,SESSION_CLOSE,2704.5,1.0,0.15384615384615385
ES,2019-02-04,2706.75,2697.0,2705.75,2698.25,2019-02-04 11:00:00-05:00,Long Breakout,First,2019-02-04 11:00:00-05:00,2706.75,2704.25,2019-02-04 15:55:00-05:00,SESSION_CLOSE,2723.75,17.0,6.8
